# Human verdicts for flipped subject-element pairs (css-cascade-check.mjs compare).
# Format: "disjoint <selA> | <selB>" (containers never nest in the DOM; source-order flip
# between them is unobservable) or "tie <selA> | <selB>" (they CAN style the same element;
# any flip is a regression). Selectors are sorted lexically within a line.
#
# This file is the recorded half of issue #120's "each rule move specificity-checked".
# A verdict must cite real DOM structure, not hope. Evidence for the entries below:
#
# - Every StressLab lab is a sibling <section> (StressLab.tsx): stress-matrix,
#   system-check-*, compression-lab, failure-lab, package-lab, format-lab (contains
#   format-executable + capacity-table), telemetry-lab (contains telemetry-table,
#   motion-telemetry, telemetry-disclosure). The dependency explorer (dependency-file-tree,
#   dependency-folder, dependency-file-inspector) renders only inside package-lab, so no
#   element sits under two labs at once, and "X > child" pairs with distinct parents are
#   disjoint by the child combinator alone.
# - difference-modebar, heavy-asset-filterbar, scene-modebar, subasset-match-* exist only
#   in ProductWorkspace.tsx views that never render inside StressLab, and none of them
#   renders StressLab inside itself.
#
# The one documented genuine tie (styles/index.css header): ownership-facts nests inside
# the asset inspector, so their dt rules really do co-match.
# (Resolved in step 5: the facts rules are dl-qualified now, so this pair no longer ties
# on specificity — the entry stays as the record of why the qualification exists.)
tie .local-asset-inspector dt | .local-ownership-facts dt
disjoint .dependency-file-tree button.selected | .difference-modebar--comparison button[aria-pressed=true]
disjoint .dependency-file-tree button:hover | .difference-modebar button[aria-pressed=true]
disjoint .dependency-file-tree button:hover | .difference-modebar--comparison button[aria-pressed=true]
disjoint .dependency-file-tree button | .difference-modebar button
disjoint .dependency-file-tree button | .heavy-asset-filterbar button
disjoint .dependency-file-tree button | .scene-modebar button
disjoint .dependency-file-tree>button | .difference-modebar button
disjoint .dependency-file-tree>button | .heavy-asset-filterbar button
disjoint .dependency-file-tree>button | .scene-modebar button
disjoint .dependency-file-tree>button | .subasset-match-list>button
disjoint .dependency-folder>button | .difference-modebar button
disjoint .dependency-folder>button | .heavy-asset-filterbar button
disjoint .dependency-folder>button | .scene-modebar button
disjoint .dependency-folder>button | .subasset-match-list>button

# ReleasePathLab.tsx: ReleaseMap (release-map-shell/help/node) renders in its own sibling
# <section> (line ~668); .release-preference is a separate panel in a later sibling block
# (~682). Neither contains the other, and both pairs use child/descendant scopes under
# those distinct containers.
disjoint .release-map-help small | .release-preference>small
disjoint .release-map-node>span | .release-preference>span

# RobloxAssetStressSet.tsx: .roblox-asset-stress is the section, .generated-stream-probe a
# div inside it, .generated-stream-readout inside the probe -- both flagged selectors use
# the child combinator with distinct parent elements. The readout's small/strong partners
# (.release-record-boundary, .workspace-table-action in ProductWorkspace table views;
# .motion-authoring-boundary in MotionComparisonLab) live in views that never render
# RobloxAssetStressSet and are never rendered inside it (it mounts bare at
# ProductWorkspace:363 in the stress view).
disjoint .generated-stream-probe>header | .roblox-asset-stress>header
disjoint .generated-stream-readout small | .release-record-boundary small
disjoint .generated-stream-readout strong | .motion-authoring-boundary strong
disjoint .generated-stream-readout strong | .release-record-boundary strong
disjoint .generated-stream-readout strong | .workspace-table-action strong

# StressLab.tsx again, failure-lab + system-check slices: .failure-lab (441) and the
# system-check surfaces (.system-check-report-entry 403, .system-check-guide/-purpose
# 409-411) are top-level siblings of every other lab section; compression-ledger/-saving
# and gpu-pressure-row sit inside compression-lab (430-433), stress-motion-layout is its
# own section (420) with motion-gate inside it. Cross-view partners (difference-modebar,
# scene-modebar, subasset-match-panel) are ProductWorkspace-only, as recorded above. The
# em[data-state=X] pairs are additionally disjoint because one element cannot hold two
# different data-state values at once.
disjoint .capacity-table>div | .system-check-purpose>div
disjoint .motion-telemetry>div | .system-check-purpose>div
disjoint .capacity-table strong | .system-check-purpose strong
disjoint .compression-ledger strong | .system-check-purpose strong
disjoint .compression-saving strong | .system-check-purpose strong
disjoint .dependency-file-inspector>div | .system-check-purpose>div
disjoint .dependency-file-inspector>header strong | .failure-lab article strong
disjoint .dependency-file-inspector>header strong | .system-check-report-entry>div strong
disjoint .dependency-file-inspector>p strong | .failure-lab article strong
disjoint .dependency-file-inspector>p strong | .system-check-report-entry>div strong
disjoint .dependency-file-inspector>p | .system-check-purpose p
disjoint .dependency-file-tree button em[data-state=failed] | .failure-lab article em[data-state=passed]
disjoint .dependency-file-tree button em[data-state=failed] | .failure-lab article em[data-state=running]
disjoint .dependency-file-tree button em[data-state=passed] | .failure-lab article em[data-state=failed]
disjoint .dependency-file-tree button em[data-state=passed] | .failure-lab article em[data-state=running]
disjoint .dependency-file-tree button em[data-state=warning] | .failure-lab article em[data-state=passed]
disjoint .dependency-file-tree button em[data-state=warning] | .failure-lab article em[data-state=running]
disjoint .dependency-file-tree button strong | .failure-lab article strong
disjoint .dependency-file-tree button strong | .system-check-report-entry>div strong
disjoint .difference-modebar>div | .system-check-purpose>div
disjoint .failure-lab article code | .package-lab>footer code
disjoint .failure-lab article p | .format-executable article>p
disjoint .failure-lab article strong | .format-executable article>strong
disjoint .failure-lab article strong | .motion-telemetry>div>strong
disjoint .failure-lab article strong | .system-check-report-entry>div strong
disjoint .failure-lab article>span | .format-executable article>span
disjoint .failure-lab article>span | .system-check-purpose>div>span
disjoint .failure-lab header p | .format-executable article>p
disjoint .format-executable article>strong | .system-check-report-entry>div strong
disjoint .gpu-pressure-row strong | .system-check-purpose strong
disjoint .motion-gate>div>span | .system-check-purpose>div>span
disjoint .motion-telemetry>div>strong | .system-check-report-entry>div strong
disjoint .package-lab>footer span | .system-check-purpose>div>span
disjoint .scene-modebar>div | .system-check-purpose>div
disjoint .stress-matrix>button>small | .system-check-report-entry>div small
disjoint .stress-matrix>button>span | .system-check-purpose>div>span
disjoint .stress-matrix>button>strong | .system-check-report-entry>div strong
disjoint .stress-matrix>header span | .system-check-purpose>div>span
disjoint .stress-motion-layout aside strong | .system-check-report-entry>div strong
disjoint .subasset-match-panel header span | .system-check-purpose>div>span
disjoint .subasset-match-panel header strong | .system-check-report-entry>div strong
disjoint .system-check-purpose strong | .telemetry-table strong
disjoint .system-check-purpose>div | .telemetry-table>div

# atlas-stage slice. EvidenceAtlas.tsx: .atlas-stage-copy lives inside the .atlas-pipeline
# <ol> (148-156); .atlas-detail (169) is the ol's SIBLING, so it never contains a stage.
# All comparison-*/difference-*/match-* partners are MatchWorkbench.tsx, which mounts only
# in PreflightWorkspace while EvidenceAtlas mounts only in App.tsx -- neither imports the
# other (grep 0/0). The >button.selected pairs additionally need one element to carry two
# different container classes, which no JSX assigns.
disjoint .atlas-detail strong | .atlas-stage-copy strong
disjoint .atlas-stage-blocked>button.selected | .match-source-list>button.selected
disjoint .atlas-stage-copy em | .difference-exact>em
disjoint .atlas-stage-copy em | .difference-visible>em
disjoint .atlas-stage-copy strong | .comparison-toolbar strong
disjoint .atlas-stage-copy strong | .comparison-watch strong
disjoint .atlas-stage-copy strong | .match-limit strong
disjoint .atlas-stage-copy strong | .match-list-heading strong
disjoint .atlas-stage>button.selected | .match-source-list>button.selected
disjoint .atlas-stage>button:hover | .match-source-list>button.selected
disjoint .atlas-stage>button | .comparison-modebar button
disjoint .atlas-stage>button | .match-source-list>button

# roblox-project + motion-pairing slices (the 10/11-slab families). Evidence:
# - RobloxProjectExample (all .roblox-project-*, .roblox-animation-selection,
#   .roblox-selection-preview, .roblox-tree-select) mounts EXACTLY once, as the
#   else-branch of the ternary at MotionComparisonLab.tsx:1722; every flagged motion-*
#   container is either inside the ternary's other branch (pairing panel, corpus picker,
#   clip catalog, live result, joint evidence, plugin intake, exact-state, step-readout,
#   result panel) or a sibling section after it (.motion-boundary-note:1724,
#   .motion-roblox-path:1726) -- none is ever an ancestor or descendant of the example.
# - Inside RobloxProjectExample: masthead/summary/sync are top-level siblings; the two
#   preview divs are mutually exclusive ternary branches; animation-selection is a
#   sibling section; the explorer tree (.roblox-tree-select buttons) is its own pane.
# - Inside MotionComparisonLab: .motion-pairing-action/-list-head live in the pairing
#   panel; .motion-desktop-boundary is that panel's mutually exclusive else-branch;
#   authoring-boundary/boundary-note/exact-state/step-readout are separate siblings.
# - Cross-view: MotionComparisonLab mounts only in the motion view (ProductWorkspace:1016),
#   RobloxAssetStressSet (.roblox-workload-*) only in the stress view, ReleasePathLab
#   (.release-publish-clarifier) in the release flow; .workspace-utility-panel /
#   -notifications-panel (PW:989) and .product-search are chrome siblings of <main> --
#   no view content ever nests inside them.
disjoint .motion-clip-catalog button | .roblox-project-child-table>button
disjoint .motion-clip-catalog button | .roblox-project-findings button
disjoint .motion-clip-catalog button | .roblox-project-sync button
disjoint .motion-corpus-picker>header | .roblox-project-child-table>header
disjoint .motion-corpus-picker>header | .roblox-project-explorer>header
disjoint .motion-corpus-picker>header | .roblox-project-findings>header
disjoint .motion-corpus-picker>header | .roblox-project-selection>header
disjoint .motion-joint-evidence>div | .roblox-project-findings>div
disjoint .motion-joint-evidence>header | .roblox-project-findings>header
disjoint .motion-joint-evidence>header | .roblox-project-selection>header
disjoint .motion-live-result>div | .roblox-project-findings>div
disjoint .motion-live-result>header | .roblox-project-findings>header
disjoint .motion-live-result>header | .roblox-project-selection>header
disjoint .motion-plugin-intake>header | .roblox-project-child-table>header
disjoint .motion-plugin-intake>header | .roblox-project-explorer>header
disjoint .motion-plugin-intake>header | .roblox-project-findings>header
disjoint .motion-plugin-intake>header | .roblox-project-selection>header
disjoint .motion-roblox-path>div | .roblox-project-child-table>div
disjoint .motion-roblox-path>div | .roblox-project-findings>div
disjoint .motion-roblox-path>div | .roblox-project-summary>div
disjoint .motion-roblox-path>header | .roblox-project-selection>header
disjoint .motion-roblox-path>header | .roblox-project-explorer>header
disjoint .motion-roblox-path>header | .roblox-project-findings>header
disjoint .motion-scope-switch>div | .roblox-project-findings>div
disjoint .roblox-asset-stress>header | .roblox-project-child-table>header
disjoint .roblox-asset-stress>header | .roblox-project-explorer>header
disjoint .roblox-asset-stress>header | .roblox-project-findings>header
disjoint .roblox-asset-stress>header | .roblox-project-selection>header
disjoint .roblox-project-findings>div | .workspace-notifications-panel>div
disjoint .roblox-project-selection>header | .roblox-workload-detail>header
disjoint .motion-authoring-boundary p | .roblox-project-child-table>p
disjoint .motion-authoring-boundary p | .roblox-project-masthead p
disjoint .motion-authoring-boundary strong | .motion-pairing-action strong
disjoint .motion-authoring-boundary strong | .motion-pairing-list-head strong
disjoint .motion-authoring-boundary strong | .roblox-project-boundary strong
disjoint .motion-authoring-boundary strong | .roblox-project-summary strong
disjoint .motion-authoring-boundary strong | .roblox-project-sync strong
disjoint .motion-boundary-note p | .roblox-project-child-table>p
disjoint .motion-boundary-note p | .roblox-project-masthead p
disjoint .motion-boundary-note strong | .motion-pairing-action strong
disjoint .motion-boundary-note strong | .motion-pairing-list-head strong
disjoint .motion-boundary-note strong | .roblox-project-summary strong
disjoint .motion-category-filter button[aria-pressed=true] | .roblox-project-findings button[data-state=blocked]
disjoint .motion-category-filter button[aria-pressed=true] | .roblox-project-findings button[data-state=review]
disjoint .motion-category-filter button | .roblox-project-child-table>button
disjoint .motion-category-filter button | .roblox-project-findings button
disjoint .motion-category-filter button | .roblox-project-sync button
disjoint .motion-clip-catalog button small | .roblox-project-findings button small
disjoint .motion-clip-catalog button strong | .roblox-project-findings button strong
disjoint .motion-clip-catalog button strong | .roblox-project-findings>header strong
disjoint .motion-clip-catalog button[aria-pressed=true] | .roblox-project-findings button[data-state=blocked]
disjoint .motion-clip-catalog button[aria-pressed=true] | .roblox-project-findings button[data-state=review]
disjoint .motion-compare-transport label | .roblox-project-explorer>label
disjoint .motion-compare-transport>button | .roblox-project-child-table>button
disjoint .motion-compare-transport>button | .roblox-project-findings button
disjoint .motion-compare-transport>button | .roblox-project-sync button
disjoint .motion-corpus-picker h2 | .roblox-project-masthead h2
disjoint .motion-corpus-picker>footer span | .roblox-project-selection>header>span
disjoint .motion-corpus-picker>header p | .roblox-project-selection>header p
disjoint .motion-corpus-picker>header span | .roblox-project-selection>header>span
disjoint .motion-corpus-picker>header>strong | .roblox-project-child-table button strong
disjoint .motion-corpus-picker>header>strong | .roblox-project-child-table>header strong
disjoint .motion-corpus-picker>header>strong | .roblox-project-explorer>header strong
disjoint .motion-corpus-picker>header>strong | .roblox-project-findings button strong
disjoint .motion-corpus-picker>header>strong | .roblox-project-findings>header strong
disjoint .motion-desktop-boundary small | .motion-pairing-action small
disjoint .motion-desktop-boundary small | .motion-pairing-list-head small
disjoint .motion-desktop-boundary small | .roblox-project-boundary small
disjoint .motion-desktop-boundary small | .roblox-project-masthead small
disjoint .motion-desktop-boundary small | .roblox-project-summary small
disjoint .motion-desktop-boundary small | .roblox-project-sync small
disjoint .motion-desktop-boundary strong | .motion-pairing-action strong
disjoint .motion-desktop-boundary strong | .motion-pairing-list-head strong
disjoint .motion-desktop-boundary strong | .roblox-project-summary strong
disjoint .motion-exact-state small | .motion-pairing-action small
disjoint .motion-exact-state small | .motion-pairing-list-head small
disjoint .motion-exact-state small | .roblox-project-boundary small
disjoint .motion-exact-state small | .roblox-project-masthead small
disjoint .motion-exact-state small | .roblox-project-summary small
disjoint .motion-exact-state small | .roblox-project-sync small
disjoint .motion-exact-state strong | .motion-pairing-action strong
disjoint .motion-exact-state strong | .motion-pairing-list-head strong
disjoint .motion-exact-state strong | .roblox-project-summary strong
disjoint .motion-frame-strip>span | .roblox-project-preview span
disjoint .motion-joint-evidence h2 | .roblox-project-masthead h2
disjoint .motion-joint-evidence>div>div | .roblox-project-findings>header>div
disjoint .motion-joint-evidence>div>p | .roblox-project-selection>header p
disjoint .motion-joint-evidence>div | .roblox-project-child-table>div
disjoint .motion-joint-evidence>div | .roblox-project-summary>div
disjoint .motion-joint-evidence>header | .roblox-project-child-table>header
disjoint .motion-joint-evidence>header | .roblox-project-explorer>header
disjoint .motion-live-result>div strong | .roblox-project-child-table button strong
disjoint .motion-live-result>div | .roblox-project-child-table>div
disjoint .motion-live-result>div | .roblox-project-summary>div
disjoint .motion-live-result>footer span | .roblox-project-selection>header>span
disjoint .motion-live-result>footer strong | .roblox-project-child-table button strong
disjoint .motion-live-result>header span | .roblox-project-selection>header>span
disjoint .motion-live-result>header | .roblox-project-child-table>header
disjoint .motion-live-result>header | .roblox-project-explorer>header
disjoint .motion-pairing-action small | .release-record-boundary small
disjoint .motion-pairing-action small | .roblox-workload-list small
disjoint .motion-pairing-action small | .workspace-notifications-panel small
disjoint .motion-pairing-action small | .workspace-table-action small
disjoint .motion-pairing-action strong | .motion-step-readout>strong
disjoint .motion-pairing-action strong | .release-record-boundary strong
disjoint .motion-pairing-action strong | .roblox-workload-list strong
disjoint .motion-pairing-action strong | .workspace-notifications-panel strong
disjoint .motion-pairing-field>span button | .workspace-notifications-panel>div>button
disjoint .motion-pairing-field>span button | .workspace-utility-panel>header>button
disjoint .motion-pairing-field>span | .roblox-project-preview span
disjoint .motion-pairing-list-head small | .release-record-boundary small
disjoint .motion-pairing-list-head small | .roblox-workload-list small
disjoint .motion-pairing-list-head small | .workspace-notifications-panel small
disjoint .motion-pairing-list-head small | .workspace-table-action small
disjoint .motion-pairing-list-head strong | .motion-step-readout>strong
disjoint .motion-pairing-list-head strong | .release-record-boundary strong
disjoint .motion-pairing-list-head strong | .roblox-workload-list strong
disjoint .motion-pairing-list-head strong | .workspace-notifications-panel strong
disjoint .motion-plugin-intake h2 | .roblox-project-masthead h2
disjoint .motion-plugin-intake>header p | .roblox-project-selection>header p
disjoint .motion-plugin-intake>header>span | .roblox-project-selection>header>span
disjoint .motion-result-panel h2 | .roblox-project-masthead h2
disjoint .motion-result-panel header strong | .roblox-project-child-table button strong
disjoint .motion-result-panel header strong | .roblox-project-child-table>header strong
disjoint .motion-result-panel header strong | .roblox-project-explorer>header strong
disjoint .motion-result-panel header strong | .roblox-project-findings button strong
disjoint .motion-result-panel header strong | .roblox-project-findings>header strong
disjoint .motion-result-panel>header>span | .roblox-project-selection>header>span
disjoint .motion-result-panel>header | .roblox-project-explorer>header
disjoint .motion-result-panel>header | .roblox-project-findings>header
disjoint .motion-result-panel>header | .roblox-project-selection>header
disjoint .motion-result-panel>p | .roblox-project-child-table>p
disjoint .motion-roblox-path article small | .roblox-project-findings button small
disjoint .motion-roblox-path article span | .roblox-project-selection>header>span
disjoint .motion-roblox-path article | .roblox-project-preview article
disjoint .motion-roblox-path footer span | .roblox-project-selection>header>span
disjoint .motion-roblox-path footer strong | .roblox-project-child-table button strong
disjoint .motion-roblox-path footer strong | .roblox-project-child-table>header strong
disjoint .motion-roblox-path footer strong | .roblox-project-explorer>header strong
disjoint .motion-roblox-path footer strong | .roblox-project-findings button strong
disjoint .motion-roblox-path footer strong | .roblox-project-findings>header strong
disjoint .motion-roblox-path h2 | .roblox-project-masthead h2
disjoint .motion-roblox-path>header p | .roblox-project-selection>header p
disjoint .motion-roblox-path>header span | .roblox-project-selection>header>span
disjoint .motion-roblox-path>header | .roblox-project-child-table>header
disjoint .motion-signal-list>div | .roblox-project-child-table>div
disjoint .motion-signal-list>div | .roblox-project-findings>div
disjoint .motion-stage-labels span | .roblox-project-masthead span
disjoint .motion-stage-labels span | .roblox-project-preview span
disjoint .motion-stage-state span | .roblox-project-preview span
disjoint .motion-step-readout>strong | .roblox-project-boundary strong
disjoint .motion-step-readout>strong | .roblox-project-summary strong
disjoint .motion-step-readout>strong | .roblox-project-sync strong
disjoint .motion-structure-evidence h2 | .roblox-project-masthead h2
disjoint .product-search>button | .roblox-project-child-table>button
disjoint .product-search>button | .roblox-project-findings button
disjoint .product-search>button | .roblox-project-sync button
disjoint .release-publish-clarifier dl>div | .roblox-project-findings>header>div
disjoint .release-publish-clarifier h2 | .roblox-project-masthead h2
disjoint .release-publish-clarifier p | .roblox-project-child-table>p
disjoint .release-publish-clarifier p | .roblox-project-masthead p
disjoint .release-publish-clarifier>div>span | .roblox-project-selection>header>span
disjoint .release-record-boundary small | .roblox-project-boundary small
disjoint .release-record-boundary small | .roblox-project-masthead small
disjoint .release-record-boundary small | .roblox-project-summary small
disjoint .release-record-boundary small | .roblox-project-sync small
disjoint .release-record-boundary strong | .roblox-project-boundary strong
disjoint .release-record-boundary strong | .roblox-project-summary strong
disjoint .release-record-boundary strong | .roblox-project-sync strong
disjoint .roblox-animation-selection span | .roblox-project-preview span
disjoint .roblox-animation-selection strong | .roblox-project-summary strong
disjoint .roblox-asset-stress>footer small | .roblox-project-explorer>header small
disjoint .roblox-asset-stress>footer small | .roblox-project-findings button small
disjoint .roblox-asset-stress>footer strong | .roblox-project-child-table button strong
disjoint .roblox-asset-stress>header p | .roblox-project-selection>header p
disjoint .roblox-asset-stress>header span | .roblox-project-selection>header>span
disjoint .roblox-asset-stress>header>small | .roblox-project-child-table button small
disjoint .roblox-asset-stress>header>small | .roblox-project-child-table>header small
disjoint .roblox-asset-stress>header>small | .roblox-project-explorer>header small
disjoint .roblox-asset-stress>header>small | .roblox-project-findings button small
disjoint .roblox-asset-stress>header>small | .roblox-project-findings>header small
disjoint .roblox-asset-stress>header>small | .roblox-project-selection>header small
disjoint .roblox-project-boundary strong | .workspace-table-action strong
disjoint .roblox-project-child-table button strong | .roblox-workload-detail>aside strong
disjoint .roblox-project-child-table button strong | .roblox-workload-detail>header strong
disjoint .roblox-project-child-table button strong | .workspace-utility-panel>header strong
disjoint .roblox-project-child-table button>em | .roblox-workload-detail>header em
disjoint .roblox-project-child-table>button:hover | .roblox-workload-list>button:hover
disjoint .roblox-project-child-table>button:hover | .roblox-workload-list>button[aria-pressed=true]
disjoint .roblox-project-child-table>button | .roblox-workload-list>button
disjoint .roblox-project-child-table>div | .workspace-notifications-panel>div
disjoint .roblox-project-child-table>header strong | .roblox-workload-detail>header strong
disjoint .roblox-project-child-table>header strong | .workspace-utility-panel>header strong
disjoint .roblox-project-child-table>header | .roblox-workload-detail>header
disjoint .roblox-project-child-table>header | .workspace-utility-panel>header
disjoint .roblox-project-child-table>p | .roblox-workload-detail>p
disjoint .roblox-project-explorer>header small | .roblox-workload-detail>aside small
disjoint .roblox-project-explorer>header strong | .roblox-workload-detail>header strong
disjoint .roblox-project-explorer>header strong | .workspace-utility-panel>header strong
disjoint .roblox-project-explorer>header | .roblox-workload-detail>header
disjoint .roblox-project-explorer>header | .workspace-utility-panel>header
disjoint .roblox-project-findings button em | .roblox-workload-detail>header em
disjoint .roblox-project-findings button small | .roblox-workload-detail>aside small
disjoint .roblox-project-findings button small | .roblox-workload-detail>header small
disjoint .roblox-project-findings button strong | .roblox-workload-detail>header strong
disjoint .roblox-project-findings button strong | .workspace-utility-panel>header strong
disjoint .roblox-project-findings button:hover | .roblox-workload-list>button:hover
disjoint .roblox-project-findings button:hover | .roblox-workload-list>button[aria-pressed=true]
disjoint .roblox-project-findings button[data-state=blocked] | .roblox-workload-list>button[aria-pressed=true]
disjoint .roblox-project-findings button[data-state=review] | .roblox-workload-list>button[aria-pressed=true]
disjoint .roblox-project-findings button | .roblox-workload-list>button
disjoint .roblox-project-findings>header em | .roblox-workload-detail>header em
disjoint .roblox-project-findings>header strong | .roblox-workload-detail>header strong
disjoint .roblox-project-findings>header strong | .workspace-utility-panel>header strong
disjoint .roblox-project-findings>header | .roblox-workload-detail>header
disjoint .roblox-project-findings>header | .workspace-utility-panel>header
disjoint .roblox-project-masthead em | .roblox-workload-list em
disjoint .roblox-project-masthead p | .roblox-workload-detail>p
disjoint .roblox-project-masthead span | .roblox-selection-preview span
disjoint .roblox-project-preview img | .roblox-selection-preview img
disjoint .roblox-project-selection>header>em | .roblox-workload-detail>header em
disjoint .roblox-project-selection>header>span | .workspace-utility-panel>header>span
disjoint .roblox-project-selection>header | .workspace-utility-panel>header
disjoint .roblox-project-selection>nav button | .workspace-notifications-panel>div>button
disjoint .roblox-project-selection>nav button | .workspace-utility-panel>header>button
disjoint .roblox-project-summary strong | .roblox-tree-select strong
disjoint .roblox-project-summary strong | .roblox-workload-list strong
disjoint .roblox-project-summary strong | .workspace-notifications-panel strong
disjoint .roblox-project-summary strong | .workspace-table-action strong
disjoint .roblox-project-summary>div | .workspace-notifications-panel>div
disjoint .roblox-project-sync button:hover | .roblox-workload-list>button:hover
disjoint .roblox-project-sync button:hover | .roblox-workload-list>button[aria-pressed=true]
disjoint .roblox-project-sync button | .roblox-workload-list>button
disjoint .roblox-project-sync strong | .roblox-tree-select strong
disjoint .roblox-project-sync strong | .workspace-table-action strong

# Step-4 slices: heavy-viewer, manifest-import, project-switcher, workspace-table.
# - .heavy-viewer-controls (HeavyAssetViewer.tsx:1152) holds only its own camera buttons;
#   no flagged partner embeds a viewer component (LocalProjectWorkspace,
#   ImportedProjectViews, ReleasePathLab import none; SceneTreePanel's one reference is
#   not a mount inside its search box) and none renders inside the viewer's controls.
# - The manifest-import surfaces (.manifest-import-notice, ProductWorkspace:991) are
#   workspace chrome, siblings of <main>; view content never nests inside them.
# - .project-switcher and its dropdown .project-switcher-menu(-actions)
#   (ProductWorkspace:915) are sidebar chrome holding only their own rows and buttons.
# - .workspace-table-view sections are the sources/releases views (ProductWorkspace:521/
#   525); their partners (roblox-project, telemetry-lab, local-*, imported-*, motion-*)
#   mount in different view branches of <main> and never nest.
# - Everything else pairs child-combinator selectors with distinct single-class parents.
disjoint .local-progress-copy span | .project-switcher>span
disjoint .heavy-viewer>.heavy-viewer-loading>span | .product-topbar>.project-metadata-trigger span
disjoint .heavy-viewer-controls button | .stress-matrix>button
disjoint .heavy-viewer-controls button | .stress-pack-rows>button
disjoint .product-sidebar-bottom button>span | .project-switcher-menu>button>span
disjoint .heavy-viewer-controls button | .product-sidebar-bottom button
disjoint .product-sidebar-bottom button | .project-switcher-menu>button
disjoint .product-sidebar-brand>span | .project-switcher-menu>span
disjoint .manifest-import-notice>div | .project-switcher div
disjoint .difference-modebar button | .heavy-viewer-controls button
disjoint .asset-browser>header span | .project-switcher-menu>button>span
disjoint .asset-browser>header strong | .project-switcher-menu>button strong
disjoint .asset-extension-list code | .manifest-import-notice code
disjoint .asset-license-line small | .manifest-import-notice small
disjoint .asset-license-line strong | .manifest-import-notice strong
disjoint .capability-demo-notice strong | .manifest-import-notice strong
disjoint .comparison-queue-strip button | .heavy-viewer-controls button
disjoint .comparison-queue-strip>header strong | .workspace-table-view td strong
disjoint .compression-lab h2 | .workspace-table-view h2
disjoint .decision-queue header span | .project-switcher-menu>button>span
disjoint .decision-queue header strong | .project-switcher-menu>button strong
disjoint .decision-queue li small | .project-switcher-menu>button small
disjoint .decision-queue li strong | .project-switcher-menu>button strong
disjoint .dependency-file-inspector>header | .workspace-table-view>header
disjoint .dependency-file-tree button strong | .workspace-table-view td strong
disjoint .dependency-file-tree>button | .heavy-viewer-controls button
disjoint .dependency-folder>button | .heavy-viewer-controls button
disjoint .difference-modebar button[aria-pressed=true] | .heavy-viewer-controls button:focus-visible
disjoint .difference-modebar button[aria-pressed=true] | .heavy-viewer-controls button:hover
disjoint .difference-modebar--comparison button[aria-pressed=true] | .heavy-viewer-controls button:focus-visible
disjoint .difference-modebar--comparison button[aria-pressed=true] | .heavy-viewer-controls button:hover
disjoint .failure-lab h2 | .workspace-table-view h2
